item_id,title,description,category,brand,price,tags
i1,Noise Cancelling Headphones,"Wireless noise-cancelling headphones with 30-hour battery life, travel case, and fast USB-C charging",electronics,SoundPeak,199.99,"audio,wireless,travel,premium"
i2,Mechanical Keyboard,"Mechanical keyboard with RGB backlighting, hot-swappable switches, and compact 75% layout",electronics,KeyForge,129.0,"keyboard,gaming,productivity,desk"
i3,Running Shoes,"Running shoes designed for long distance comfort, arch support, and all-weather road grip",sports,StrideLab,110.0,"running,fitness,outdoors,comfort"
i4,Vegetarian Cookbook,"Cookbook featuring quick vegetarian recipes, pantry-friendly ingredients, and busy weeknight meal plans",books,HomeTable Press,24.99,"cooking,vegetarian,recipes,home"
i5,Fitness Smartwatch,"Smartwatch with heart rate monitoring, GPS, sleep tracking, and guided workout summaries",electronics,PulsePath,249.0,"wearables,fitness,gps,health"
i6,Yoga Mat,"Non-slip yoga mat with extra cushioning for home workouts, stretching, and pilates routines",sports,FlexRoot,39.99,"yoga,fitness,home,wellness"
i7,Stainless Steel Water Bottle,Insulated water bottle that keeps drinks cold for 24 hours and fits most bike cages,sports,TrailSip,29.5,"hydration,outdoors,fitness,travel"
i8,Science Fiction Novel,"Fast-paced science fiction adventure with interstellar politics, mystery, and survival themes",books,North Orbit Books,18.0,"books,fiction,scifi,novel"
i9,Gaming Mouse,"Ergonomic gaming mouse with adjustable DPI, programmable buttons, and low-latency wireless mode",electronics,VoltArc,79.99,"gaming,mouse,wireless,desk"
i10,Hiking Backpack,"Lightweight hiking backpack with rain cover, hydration sleeve, and multiple gear compartments",sports,SummitTrail,94.99,"hiking,outdoors,travel,gear"
i11,Air Fryer,Compact air fryer for crispy weeknight meals with digital presets and dishwasher-safe basket,home,Crispa,89.0,"kitchen,cooking,appliance,home"
i12,Desk Lamp,"LED desk lamp with adjustable color temperature, brightness memory, and USB charging port",home,LumaDesk,45.0,"desk,lighting,productivity,home"
i13,Wireless Earbuds,"Pocket-sized wireless earbuds with ANC, transparency mode, and sweat-resistant fit",electronics,SoundPeak,149.99,"audio,wireless,fitness,commute"
i14,Resistance Bands Set,"Five-level resistance bands set for strength training, mobility work, and at-home rehabilitation",sports,FlexRoot,22.0,"fitness,strength,home,training"
i15,Digital Kitchen Scale,Accurate kitchen scale for meal prep and baking with tare function and gram-ounce conversion,home,MeasureMate,19.99,"kitchen,baking,meal-prep,home"
i16,Mystery Thriller Paperback,"Suspense thriller with short chapters, unreliable narrators, and a twist ending",books,Blue Lantern Books,16.5,"books,mystery,thriller,fiction"
i17,Smart Home Speaker,"Voice-controlled smart speaker with room-filling audio, timers, and home automation support",electronics,CasaWave,99.99,"smart-home,audio,assistant,home"
i18,Portable Blender,"Rechargeable portable blender for smoothies, protein shakes, and quick breakfast prep",home,BlendGo,34.99,"kitchen,fitness,portable,meal-prep"
i19,Cycling Gloves,Breathable cycling gloves with gel padding for weekend rides and indoor spin classes,sports,TrailSip,27.5,"cycling,fitness,outdoors,comfort"
i20,Personal Finance Book,"Beginner-friendly personal finance guide covering budgeting, saving, and long-term investing basics",books,Ledger House,21.0,"finance,books,nonfiction,money"
